agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
45458,-108.26666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,52,0.5866666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
46125,-12.545454545454534,12.0,11.0,True,0.6,1.0,1.0,0,0,87,0.37272727272727324,5,11.0,5,5,5,"[False, False, False, False, False]",200
46745,-7.999999999999945,10.0,8.0,True,0.4,1.0,1.0,0,1,61,0.6,5,8.0,3,3,4,"[False, False, False, False, False]",200
47088,-0.2500000000000174,12.0,8.0,True,0.6,1.0,1.0,0,0,51,0.9875,5,8.0,3,3,5,"[False, False, False, False, False]",200
47499,8.769999999999989,12.0,5.0,True,0.6,1.0,1.0,0,0,53,1.4385000000000008,5,5.0,4,4,5,"[False, False, False, False, False]",200
47910,-2.3000000000000185,12.0,8.0,True,0.6,1.0,1.0,0,0,63,0.885,5,8.0,3,3,5,"[False, False, False, False, False]",200
48310,-1.9750000000000199,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.90125,5,8.0,3,3,5,"[False, False, False, False, False]",200
48833,3.2800000000000047,12.0,5.0,True,0.6,1.0,1.0,0,0,81,1.164000000000002,5,5.0,5,5,5,"[False, False, False, False, False]",200
49293,-3.7187500000000036,12.0,8.0,True,0.6,1.0,1.0,0,0,55,0.8140625,5,8.0,5,5,5,"[False, False, False, False, False]",200
50048,-12.374999999999936,9.5,8.0,True,0.4,1.0,1.0,0,1,74,0.38125,5,8.0,4,4,4,"[False, False, False, False, False]",200
50573,-5.5249999999999595,12.0,8.0,True,0.6,1.0,1.0,0,0,59,0.72375,5,8.0,5,5,5,"[False, False, False, False, False]",200
51043,-3.7187499999999822,12.0,8.0,True,0.6,1.0,1.0,0,0,67,0.8140625,5,8.0,4,4,5,"[False, False, False, False, False]",200
51586,2.5799999999999934,12.0,5.0,True,0.6,1.0,1.0,0,0,64,1.1290000000000016,5,5.0,4,4,5,"[False, False, False, False, False]",200
52387,-13.724999999999941,9.5,8.0,True,0.4,1.0,1.0,0,1,122,0.31375,5,8.0,4,4,4,"[False, False, False, False, False]",200
52781,-1.787500000000019,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.910625,5,8.0,3,3,5,"[False, False, False, False, False]",200
53351,-10.56818181818175,12.0,11.0,True,0.6,1.0,1.0,0,0,101,0.4715909090909097,5,11.0,4,4,5,"[False, False, False, False, False]",200
53743,-1.750000000000021,12.0,8.0,True,0.6,1.0,1.0,0,0,56,0.9125,5,8.0,3,3,5,"[False, False, False, False, False]",200
54282,-9.927272727272669,12.0,11.0,True,0.6,1.0,1.0,0,0,87,0.5036363636363643,5,11.0,5,5,5,"[False, False, False, False, False]",200
54861,-10.790909090909045,12.0,11.0,True,0.6,1.0,1.0,0,0,97,0.4604545454545461,5,11.0,3,3,5,"[False, False, False, False, False]",200
55296,-108.65833333333332,12.0,12.0,False,0.6,1.0,1.0,0,0,73,0.5670833333333333,5,12.0,3,3,5,"[False, False, False, False, False]",200
55734,7.439999999999989,12.0,5.0,True,0.6,1.0,1.0,0,0,57,1.3720000000000017,5,5.0,4,4,5,"[False, False, False, False, False]",200
