agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
75194,-7.518181818181819,12.0,11.0,True,0.6,1.0,1.0,0,0,47,0.6240909090909101,5,11.0,3,3,5,"[False, False, False, False, False]",200
75522,0.19999999999998264,12.0,8.0,True,0.6,1.0,1.0,0,0,48,1.01,5,8.0,3,3,5,"[False, False, False, False, False]",200
75876,-0.6375000000000224,12.0,8.0,True,0.6,1.0,1.0,0,0,44,0.968125,5,8.0,3,3,5,"[False, False, False, False, False]",200
76277,-1.9375000000000138,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.903125,5,8.0,3,3,5,"[False, False, False, False, False]",200
76719,-108.87499999999999,12.0,12.0,False,0.6,1.0,1.0,0,0,56,0.55625,5,12.0,3,3,5,"[False, False, False, False, False]",200
77149,-4.444444444444445,12.0,9.0,True,0.6,1.0,1.0,0,0,50,0.777777777777778,5,9.0,4,4,5,"[False, False, False, False, False]",200
77472,0.33749999999998154,12.0,8.0,True,0.6,1.0,1.0,0,0,45,1.016875,5,8.0,3,3,5,"[False, False, False, False, False]",200
77864,-1.6875000000000153,12.0,8.0,True,0.6,1.0,1.0,0,0,63,0.915625,5,8.0,3,3,5,"[False, False, False, False, False]",200
78262,-1.8375000000000128,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.908125,5,8.0,3,3,5,"[False, False, False, False, False]",200
78698,-108.73333333333332,12.0,12.0,False,0.6,1.0,1.0,0,0,60,0.5633333333333334,5,12.0,3,3,5,"[False, False, False, False, False]",200
79164,-109.35,12.0,12.0,False,0.6,1.0,1.0,0,0,62,0.5325,5,12.0,3,3,5,"[False, False, False, False, False]",200
79536,-1.0500000000000116,12.0,8.0,True,0.6,1.0,1.0,0,0,51,0.9475,5,8.0,3,3,5,"[False, False, False, False, False]",200
80051,-6.650000000000004,12.0,9.0,True,0.6,1.0,1.0,0,0,66,0.6674999999999998,5,9.0,4,4,5,"[False, False, False, False, False]",200
80417,-0.9250000000000163,12.0,8.0,True,0.6,1.0,1.0,0,0,58,0.95375,5,8.0,3,3,5,"[False, False, False, False, False]",200
80870,-5.066666666666665,12.0,9.0,True,0.6,1.0,1.0,0,0,63,0.7466666666666666,5,9.0,4,4,5,"[False, False, False, False, False]",200
81232,-0.7125000000000079,12.0,8.0,True,0.6,1.0,1.0,0,0,63,0.964375,5,8.0,3,3,5,"[False, False, False, False, False]",200
81657,-7.509090909090909,12.0,11.0,True,0.6,1.0,1.0,0,0,49,0.6245454545454556,5,11.0,3,3,5,"[False, False, False, False, False]",200
82029,-1.0750000000000137,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.94625,5,8.0,3,3,5,"[False, False, False, False, False]",200
82415,-1.6250000000000258,12.0,8.0,True,0.6,1.0,1.0,0,0,46,0.91875,5,8.0,3,3,5,"[False, False, False, False, False]",200
82739,13.000000000000012,12.0,5.0,True,0.6,1.0,1.0,0,0,55,1.6499999999999986,5,5.0,3,3,5,"[False, False, False, False, False]",200
83156,-108.34166666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,59,0.5829166666666666,5,12.0,3,3,5,"[False, False, False, False, False]",200
83530,-1.1875000000000184,12.0,8.0,True,0.6,1.0,1.0,0,0,56,0.940625,5,8.0,3,3,5,"[False, False, False, False, False]",200
83960,-108.64999999999998,12.0,12.0,False,0.6,1.0,1.0,0,0,50,0.5675,5,12.0,3,3,5,"[False, False, False, False, False]",200
84414,-8.118181818181764,12.0,11.0,True,0.6,1.0,1.0,0,0,60,0.59409090909091,5,11.0,4,4,5,"[False, False, False, False, False]",200
84858,-108.86666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,68,0.5566666666666668,5,12.0,3,3,5,"[False, False, False, False, False]",200
85306,-108.96666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,64,0.5516666666666667,5,12.0,4,4,5,"[False, False, False, False, False]",200
85609,14.000000000000016,12.0,5.0,True,0.6,1.0,1.0,0,0,49,1.699999999999998,5,5.0,3,3,5,"[False, False, False, False, False]",200
85956,-0.3250000000000133,12.0,8.0,True,0.6,1.0,1.0,0,0,59,0.98375,5,8.0,3,3,5,"[False, False, False, False, False]",200
86367,-108.24166666666666,12.0,12.0,False,0.6,1.0,1.0,0,0,53,0.5879166666666668,5,12.0,3,3,5,"[False, False, False, False, False]",200
86698,0.08749999999998066,12.0,8.0,True,0.6,1.0,1.0,0,0,45,1.004375,5,8.0,3,3,5,"[False, False, False, False, False]",200
87002,0.9124999999999824,12.0,8.0,True,0.6,1.0,1.0,0,0,42,1.045625,5,8.0,3,3,5,"[False, False, False, False, False]",200
87312,0.8499999999999927,12.0,8.0,True,0.6,1.0,1.0,0,0,44,1.0425,5,8.0,3,3,5,"[False, False, False, False, False]",200
87702,-107.81666666666666,12.0,12.0,False,0.6,1.0,1.0,0,0,50,0.6091666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
88075,-1.1250000000000155,12.0,8.0,True,0.6,1.0,1.0,0,0,61,0.94375,5,8.0,3,3,5,"[False, False, False, False, False]",200
88525,-109.00833333333331,12.0,12.0,False,0.6,1.0,1.0,0,0,64,0.5495833333333333,5,12.0,3,3,5,"[False, False, False, False, False]",200
88851,0.29999999999998617,12.0,8.0,True,0.6,1.0,1.0,0,0,50,1.015,5,8.0,3,3,5,"[False, False, False, False, False]",200
89193,-0.15000000000001118,12.0,8.0,True,0.6,1.0,1.0,0,0,54,0.9925,5,8.0,3,3,5,"[False, False, False, False, False]",200
89530,0.01249999999999006,12.0,8.0,True,0.6,1.0,1.0,0,0,54,1.000625,5,8.0,3,3,5,"[False, False, False, False, False]",200
89908,-1.2500000000000135,12.0,8.0,True,0.6,1.0,1.0,0,0,50,0.9375,5,8.0,3,3,5,"[False, False, False, False, False]",200
